First,Last,RookieYear,Brand,Year,CardNumber
Napoleon,Lajoie,,Fleer,1960,1
Christy,Mathewson,,Fleer,1960,2
Babe,Ruth,,Fleer,1960,3
Carl,Hubbell,,Fleer,1960,4
Grover,C. Alexander,,Fleer,1960,5
Walter,Johnson,,Fleer,1960,6
Chief,Bender,,Fleer,1960,7
Roger,Bresnahan,,Fleer,1960,8
Mordecai,Brown,,Fleer,1960,9
Tris,Speaker,,Fleer,1960,10
Arky,Vaughan,,Fleer,1960,11
Zach,Wheat,,Fleer,1960,12
George,Sisler,,Fleer,1960,13
Connie,Mack,,Fleer,1960,14
Clark,Griffith,,Fleer,1960,15
Lou,Boudreau,,Fleer,1960,16
Ernie,Lombardi,,Fleer,1960,17
Heinie,Manush,,Fleer,1960,18
Marty,Marion,,Fleer,1960,19
Eddie,Collins,,Fleer,1960,20
Rabbit,Maranville,,Fleer,1960,21
Joe,Medwick,,Fleer,1960,22
Ed,Barrow,,Fleer,1960,23
Mickey,Cochrane,,Fleer,1960,24
Jimmy,Collins,,Fleer,1960,25
Bob,Feller,,Fleer,1960,26
Luke,Appling,,Fleer,1960,27
Lou,Gehrig,,Fleer,1960,28
Gabby,Hartnett,,Fleer,1960,29
Chuck,Klein,,Fleer,1960,30
Tony,Lazzeri,,Fleer,1960,31
Al,Simmons,,Fleer,1960,32
Wilbert,Robinson,,Fleer,1960,33
Sam,Rice,,Fleer,1960,34
Herb,Pennock,,Fleer,1960,35
Mel,Ott,,Fleer,1960,36
Lefty,O'Doul,,Fleer,1960,37
Johnny,Mize,,Fleer,1960,38
Joe,Tinker,,Fleer,1960,40
Frank,Baker,,Fleer,1960,41
Ty,Cobb,,Fleer,1960,42
Paul,Derringer,,Fleer,1960,43
Cap,Anson,,Fleer,1960,44
Jim,Bottomley,,Fleer,1960,45
Eddie,Plank,,Fleer,1960,46
Cy,Young,,Fleer,1960,47
Hack,Wilson,,Fleer,1960,48
Frank,Chance,,Fleer,1960,50
Dazzy,Vance,,Fleer,1960,51
Bill,Terry,,Fleer,1960,52
Jimmie,Foxx,,Fleer,1960,53
Lefty,Gomez,,Fleer,1960,54
Branch,Rickey,,Fleer,1960,55
Ray,Schalk,,Fleer,1960,56
Johnny,Evers,,Fleer,1960,57
Charley,Gehringer,,Fleer,1960,58
Burleigh,Grimes,,Fleer,1960,59
Lefty,Grove,,Fleer,1960,60
Rube,Waddell,,Fleer,1960,61
Honus,Wagner,,Fleer,1960,62
Red,Ruffing,,Fleer,1960,63
Kenesaw,M. Landis,,Fleer,1960,64
Harry,Heilmann,,Fleer,1960,65
John,McGraw,,Fleer,1960,66
Hughie,Jennings,,Fleer,1960,67
Hal,Newhouser,,Fleer,1960,68
Waite,Hoyt,,Fleer,1960,69
Bobo,Newsom,,Fleer,1960,70
Earl,Averill,,Fleer,1960,71
Ted,Williams,,Fleer,1960,72
Warren,Giles,,Fleer,1960,73
Ford,Frick,,Fleer,1960,74
Kiki,Cuyler,,Fleer,1960,75
Paul,Waner,,Fleer,1960,76
Pie,Traynor,,Fleer,1960,77
Lloyd,Waner,,Fleer,1960,78
Ralph,Kiner,,Fleer,1960,79
Pepper,Martin,,Fleer,1960,80A
-,F.Baker/T.Cobb/Z. Wheat,,Fleer,1961,1
Grover,C. Alexander,,Fleer,1961,2
Nick,Altrock,,Fleer,1961,3
Cap,Anson,,Fleer,1961,4
Earl,Averill,,Fleer,1961,5
Frank,Baker,,Fleer,1961,6
Dave,Bancroft,,Fleer,1961,7
Chief,Bender,,Fleer,1961,8
Jim,Bottomley,,Fleer,1961,9
Roger,Bresnahan,,Fleer,1961,10
Mordecai,Brown,,Fleer,1961,11
Max,Carey,,Fleer,1961,12
Jack,Chesbro,,Fleer,1961,13
Ty,Cobb,,Fleer,1961,14
Mickey,Cochrane,,Fleer,1961,15
Eddie,Collins,,Fleer,1961,16
Earle,Combs,,Fleer,1961,17
Charles,Comiskey,,Fleer,1961,18
Kiki,Cuyler,,Fleer,1961,19
Paul,Derringer,,Fleer,1961,20
Howard,Ehmke,,Fleer,1961,21
Billy,Evans,,Fleer,1961,22
Johnny,Evers,,Fleer,1961,23
Urban,Faber,,Fleer,1961,24
Bob,Feller,,Fleer,1961,25
Wes,Ferrell,,Fleer,1961,26
Lew,Fonseca,,Fleer,1961,27
Jimmie,Foxx,,Fleer,1961,28
Ford,Frick,,Fleer,1961,29
Frankie,Frisch,,Fleer,1961,30
Lou,Gehrig,,Fleer,1961,31
Charley,Gehringer,,Fleer,1961,32
Warren,Giles,,Fleer,1961,33
Lefty,Gomez,,Fleer,1961,34
