First,Last,RookieYear,Brand,Year,CardNumber
Bob,Elliott,1948,Bowman,1948,1
Ewell,Blackwell,1948,Bowman,1948,2
Ralph,Kiner,1948,Bowman,1948,3
Johnny,Mize,,Bowman,1948,4
Bob,Feller,,Bowman,1948,5
Pete,Reiser,,Bowman,1948,7
Phil,Rizzuto,1948,Bowman,1948,8
Walker,Cooper,,Bowman,1948,9
Buddy,Rosar,,Bowman,1948,10
Johnny,Lindell,,Bowman,1948,11
Johnny,Sain,1948,Bowman,1948,12
Willard,Marshall,,Bowman,1948,13
Allie,Reynolds,1948,Bowman,1948,14
Eddie,Joost,,Bowman,1948,15
Jack,Lohrke,,Bowman,1948,16
Enos,Slaughter,,Bowman,1948,17
Warren,Spahn,1948,Bowman,1948,18
Tommy,Henrich,,Bowman,1948,19
Buddy,Kerr,,Bowman,1948,20
Ferris,Fain,1948,Bowman,1948,21
Floyd,Bevens,1948,Bowman,1948,22
Larry,Jansen,1948,Bowman,1948,23
Dutch,Leonard,,Bowman,1948,24
Barney,McCosky,,Bowman,1948,25
Frank,Shea,1948,Bowman,1948,26
Sid,Gordon,,Bowman,1948,27
Emil,Verban,,Bowman,1948,28
Joe,Page,1948,Bowman,1948,29
Whitey,Lockman,1948,Bowman,1948,30
Bill,McCahan,,Bowman,1948,31
Bill,Rigney,,Bowman,1948,32
Bill,Johnson,,Bowman,1948,33
Sheldon,Jones,,Bowman,1948,34
Snuffy,Stirnweiss,1948,Bowman,1948,35
Stan,Musial,1948,Bowman,1948,36
Clint,Hartung,1948,Bowman,1948,37
Red,Schoendienst,1948,Bowman,1948,38
Augie,Galan,,Bowman,1948,39
Marty,Marion,1948,Bowman,1948,40
Rex,Barney,1948,Bowman,1948,41
Ray,Poat,,Bowman,1948,42
Bruce,Edwards,,Bowman,1948,43
Johnny,Wyrostek,,Bowman,1948,44
Hank,Sauer,1948,Bowman,1948,45
Herman,Wehmeier,,Bowman,1948,46
Bobby,Thomson,1948,Bowman,1948,47
Dave,Koslo,1948,Bowman,1948,48
Bowman,Baseball Card Checklist,,Bowman,1948,1948
Bobby,Brown,,Bowman,1950,101
Billy,Johnson,,Bowman,1950,102
Eddie,Joost,,Bowman,1950,103
Sam,Chapman,,Bowman,1950,104
Bob,Dillinger,,Bowman,1950,105
Cliff,Fannin,,Bowman,1950,106
Sam,Dente,1950,Bowman,1950,107
Ray,Scarborough,,Bowman,1950,108
Sid,Gordon,,Bowman,1950,109
Tommy,Holmes,,Bowman,1950,110
Walker,Cooper,,Bowman,1950,111
Gil,Hodges,,Bowman,1950,112
Gene,Hermanski,,Bowman,1950,113
Wayne,Terwilliger,1950,Bowman,1950,114
Roy,Smalley,,Bowman,1950,115
Virgil,Stallcup,,Bowman,1950,116
Bill,Rigney,,Bowman,1950,117
Clint,Hartung,,Bowman,1950,118
Dick,Sisler,,Bowman,1950,119
John,Thompson,,Bowman,1950,120
Andy,Seminick,,Bowman,1950,121
Johnny,Hopp,,Bowman,1950,122
Dino,Restelli,1950,Bowman,1950,123
Clyde,McCullough,,Bowman,1950,124
Del,Rice,1950,Bowman,1950,125
Al,Brazle,,Bowman,1950,126
Dave,Philley,,Bowman,1950,127
Phil,Masi,,Bowman,1950,128
Joe,Gordon,,Bowman,1950,129
Dale,Mitchell,,Bowman,1950,130
Steve,Gromek,,Bowman,1950,131
Mickey,Vernon,,Bowman,1950,132
Don,Kolloway,,Bowman,1950,133
Paul,Trout,,Bowman,1950,134
Pat,Mullin,,Bowman,1950,135
Buddy,Rosar,,Bowman,1950,136
Johnny,Pesky,,Bowman,1950,137
Allie,Reynolds,,Bowman,1950,138
Johnny,Mize,,Bowman,1950,139
Pete,Suder,1950,Bowman,1950,140
Joe,Coleman,1950,Bowman,1950,141
Sherman,Lollar,1950,Bowman,1950,142
Eddie,Stewart,,Bowman,1950,143
Al,Evans,,Bowman,1950,144
Jack,Graham,1950,Bowman,1950,145
Floyd,Baker,,Bowman,1950,146
Mike,Garcia,1950,Bowman,1950,147
Early,Wynn,,Bowman,1950,148
Bob,Swift,,Bowman,1950,149
George,Vico,,Bowman,1950,150
