First,Last,RookieYear,Brand,Year,CardNumber
Andy,Pafko,,Topps,1952,1
Pete,Runnels,1952,Topps,1952,2
Hank,Thompson,,Topps,1952,3
Don,Lenhardt,,Topps,1952,4
Larry,Jansen,,Topps,1952,5
Grady,Hatton,,Topps,1952,6
Wayne,Terwilliger,,Topps,1952,7
Fred,Marsh,,Topps,1952,8
Robert,Hogue,,Topps,1952,9
Al,Rosen,,Topps,1952,10
Phil,Rizzuto,,Topps,1952,11
Monty,Basgall,,Topps,1952,12
Johnny,Wyrostek,,Topps,1952,13
Bob,Elliott,,Topps,1952,14
Johnny,Pesky,,Topps,1952,15
Gene,Hermanski,,Topps,1952,16
Jim,Hegan,,Topps,1952,17
Merrill,Combs,,Topps,1952,18
Johnny,Bucha,,Topps,1952,19
Billy,Loes,1952,Topps,1952,20
Ferris,Fain,,Topps,1952,21
Dom,DiMaggio,,Topps,1952,22
Billy,Goodman,,Topps,1952,23
Luke,Easter,,Topps,1952,24
Johnny,Groth,,Topps,1952,25
Monte,Irvin,,Topps,1952,26
Sam,Jethroe,,Topps,1952,27
Jerry,Priddy,,Topps,1952,28
Ted,Kluszewsk,,Topps,1952,29
Mel,Parnell,,Topps,1952,30
Gus,Zernial,,Topps,1952,31
Eddie,Robinson,,Topps,1952,32
Warren,Spahn,,Topps,1952,33
Elmer,Valo,,Topps,1952,34
Hank,Sauer,,Topps,1952,35
Gil,Hodges,,Topps,1952,36
Duke,Snider,,Topps,1952,37
Wally,Westlake,,Topps,1952,38
Dizzy,Trout,,Topps,1952,39
Irv,Noren,,Topps,1952,40
Bob,Wellman,,Topps,1952,41
Lou,Kretlow,,Topps,1952,42
Ray,Scarborough,,Topps,1952,43
Con,Dempsey,,Topps,1952,44
Eddie,Joost,,Topps,1952,45
Gordon,Goldsberry,,Topps,1952,46
Willie,Jones,,Topps,1952,47
Joe,Page (COR),,Topps,1952,48A
Johnny,Sain (COR),,Topps,1952,49A
Marv,Rickert,,Topps,1952,50
Jim,Russell,,Topps,1952,51
Don,Mueller,,Topps,1952,52
Chris,Van Cuyk,,Topps,1952,53
Leo,Kiely,,Topps,1952,54
Ray,Boone,,Topps,1952,55
Tommy,Glaviano,,Topps,1952,56
Ed,Lopat,,Topps,1952,57
Bob,Mahoney,,Topps,1952,58
Robin,Roberts,,Topps,1952,59
Sid,Hudson,,Topps,1952,60
Tookie,Gilbert,,Topps,1952,61
Chuck,Stobbs,1952,Topps,1952,62
Howie,Pollet,,Topps,1952,63
Roy,Sievers,,Topps,1952,64
Enos,Slaughter,,Topps,1952,65
Preacher,Roe,,Topps,1952,66
Allie,Reynolds,,Topps,1952,67
Cliff,Chambers,,Topps,1952,68
Virgil,Stallcup,,Topps,1952,69
Al,Zarilla,,Topps,1952,70
Tom,Upton,,Topps,1952,71
Karl,Olson,,Topps,1952,72
Bill,Werle,,Topps,1952,73
Andy,Hansen,,Topps,1952,74
Wes,Westrum,,Topps,1952,75
Eddie,Stanky,,Topps,1952,76
Bob,Kennedy,,Topps,1952,77
Ellis,Kinder,,Topps,1952,78
Gerry,Staley,,Topps,1952,79
Herman,Wehmeier,,Topps,1952,80
Vern,Law,,Topps,1952,81
Duane,Pillette,,Topps,1952,82
Billy,Johnson,,Topps,1952,83
Vern,Stephens,,Topps,1952,84
Bob,Kuzava,,Topps,1952,85
Ted,Gray,,Topps,1952,86
Dale,Coogan,,Topps,1952,87
Bob,Feller,,Topps,1952,88
Johnny,Lipon,,Topps,1952,89
Mickey,Grasso,,Topps,1952,90
Dale,Mitchell,,Topps,1952,92
Al,Sima,,Topps,1952,93
Sam,Mele,,Topps,1952,94
Ken,Holcombe,,Topps,1952,95
Earl,Torgeson,,Topps,1952,97
Billy,Pierce,,Topps,1952,98
Gene,Woodling,,Topps,1952,99
Del,Rice,,Topps,1952,100
Max,Lanier,,Topps,1952,101
Bill,Kennedy,,Topps,1952,102
Cliff,Mapes,,Topps,1952,103
Don,Kolloway,,Topps,1952,104
Johnny,Pramesa,,Topps,1952,105
Mickey,Vernon,,Topps,1952,106
Connie,Ryan,,Topps,1952,107
Jim,Konstanty,,Topps,1952,108
Ted,Wilks,,Topps,1952,109
Dutch,Leonard,,Topps,1952,110
Peanuts,Lowrey,,Topps,1952,111
Hank,Majeski,,Topps,1952,112
Red,Munger,,Topps,1952,115
Carl,Scheib,,Topps,1952,116
Sherm,Lollar,,Topps,1952,117
Bob,Chakales,,Topps,1952,120
Gus,Niarhos,,Topps,1952,121
Jackie,Jensen,,Topps,1952,122
Eddie,Yost,,Topps,1952,123
Monte,Kennedy,,Topps,1952,124
Bill,Rigney,,Topps,1952,125
Paul,Minner,1952,Topps,1952,127
Don,Bollweg,,Topps,1952,128
Johnny,Mize,,Topps,1952,129
Sheldon,Jones,,Topps,1952,130
Morrie,Martin,,Topps,1952,131
Clyde,Kluttz,,Topps,1952,132
Al,Widmar,,Topps,1952,133
Joe,Tipton,,Topps,1952,134
Dixie,Howell,,Topps,1952,135
Johnny,Schmitz,,Topps,1952,136
Roy,McMillan,1952,Topps,1952,137
Bill,MacDonald,,Topps,1952,138
Ken,Wood,,Topps,1952,139
Clint,Hartung,,Topps,1952,141
Les,Moss,,Topps,1952,143
Ed,Blake,,Topps,1952,144
Joe,Haynes,,Topps,1952,145
Frank,House,,Topps,1952,146
Bob,Young,,Topps,1952,147
Dick,Kryhoski,,Topps,1952,149
Ted,Beard,,Topps,1952,150
Wally,Post,1952,Topps,1952,151
Al,Evans,,Topps,1952,152
Bob,Rush,,Topps,1952,153
Joe,Muir,,Topps,1952,154
Frank,Hiller,,Topps,1952,156
Bob,Usher,,Topps,1952,157
Eddie,Waitkus,,Topps,1952,158
Saul,Rogovin,,Topps,1952,159
Owen,Friend,,Topps,1952,160
Bud,Byerly,,Topps,1952,161
Del,Crandall,,Topps,1952,162
Stan,Rojek,,Topps,1952,163
Eddie,Kazak,,Topps,1952,165
Paul,LaPalme,,Topps,1952,166
Bill,Howerton,,Topps,1952,167
Howie,Judson,,Topps,1952,169
Gus,Bell,,Topps,1952,170
Ed,Erautt,,Topps,1952,171
Eddie,Miksis,,Topps,1952,172
Roy,Smalley,,Topps,1952,173
Billy,Martin,1952,Topps,1952,175
Hank,Edwards,,Topps,1952,176
Bill,Wight,,Topps,1952,177
Cass,Michaels,,Topps,1952,178
Frank,Smith,,Topps,1952,179
Bob,Swift,,Topps,1952,181
Bob,Ramazzotti,,Topps,1952,184
Bill,Nicholson,,Topps,1952,185
Walt,Masterson,,Topps,1952,186
Bob,Miller,,Topps,1952,187
Pete,Reiser,,Topps,1952,189
Don,Johnson,,Topps,1952,190
Yogi,Berra,,Topps,1952,191
Myron,Ginsberg,,Topps,1952,192
Harry,Simpson,,Topps,1952,193
Joe,Hatton,,Topps,1952,194
Minnie,Minoso,1952,Topps,1952,195
Solly,Hemus,1952,Topps,1952,196
Phil,Haugstad,,Topps,1952,198
Ralph,Houk,1952,Topps,1952,200
Alex,Kellner,,Topps,1952,201
Joe,Collins,1952,Topps,1952,202
Curt,Simmons,,Topps,1952,203
Ron,Northey,,Topps,1952,204
Joe,Ostrowski,,Topps,1952,206
Mickey,Harris,,Topps,1952,207
Marlin,Stuart,,Topps,1952,208
Howie,Fox,,Topps,1952,209
Dick,Fowler,,Topps,1952,210
Ray,Coleman,,Topps,1952,211
Nippy,Jones,,Topps,1952,213
Johnny,Hopp,,Topps,1952,214
Hank,Bauer,,Topps,1952,215
Richie,Ashburn,,Topps,1952,216
Bobby,Shantz,,Topps,1952,219
Granny,Hamner,,Topps,1952,221
Hoot,Evers,,Topps,1952,222
Del,Ennis,,Topps,1952,223
Bruce,Edwards,,Topps,1952,224
Dave,Philley,,Topps,1952,226
Joe,Garagiola,,Topps,1952,227
Al,Brazle,,Topps,1952,228
Gene,Bearden,,Topps,1952,229
Matt,Batts,,Topps,1952,230
Sam,Zoldak,,Topps,1952,231
Billy,Cox,,Topps,1952,232
Bob,Friend,1952,Topps,1952,233
Steve,Souchock,,Topps,1952,234
Walt,Dropo,,Topps,1952,235
Ed,Fitzgerald,,Topps,1952,236
Jerry,Coleman,,Topps,1952,237
Art,Houtteman,,Topps,1952,238
Rocky,Bridges,,Topps,1952,239
Tommy,Byrne,,Topps,1952,241
Tom,Poholsky,,Topps,1952,242
Larry,Doby,,Topps,1952,243
Sherry,Robertson,,Topps,1952,245
George,Kell,,Topps,1952,246
Randy,Gumpert,,Topps,1952,247
Frank,Shea,,Topps,1952,248
Bobby,Adams,,Topps,1952,249
Carl,Erskine,,Topps,1952,250
Chico,Carrasquel,,Topps,1952,251
Vern,Bickford,,Topps,1952,252
John,Berardino,,Topps,1952,253
Joe,Dobson,,Topps,1952,254
Clyde,Vollmer,,Topps,1952,255
Pete,Suder,,Topps,1952,256
Bobby,Avila,,Topps,1952,257
Steve,Grome,,Topps,1952,258
Bob,Addis,,Topps,1952,259
Willie,Mays,,Topps,1952,261
Virgil,Trucks,,Topps,1952,262
Harry,Brecheen,,Topps,1952,263
Roy,Hartsfield,,Topps,1952,264
Chuck,Diering,,Topps,1952,265
Murry,Dickson,,Topps,1952,266
Sid,Gordon,,Topps,1952,267
Bob,Lemon,,Topps,1952,268
Willard,Nixon,,Topps,1952,269
Lou,Brissie,,Topps,1952,270
Jim,Delsing,,Topps,1952,271
Mike,Garcia,,Topps,1952,272
Erv,Palica,,Topps,1952,273
