SetName,Brand,Year,CardNumber,First,Last,Rookie
1959 Fleer,Fleer,1959,1,The,Early Years,0
1959 Fleer,Fleer,1959,2,Ted's,Idol Babe Ruth,0
1959 Fleer,Fleer,1959,3,Practice,Makes Perfect,0
1959 Fleer,Fleer,1959,4,Learns,Fine Points,0
1959 Fleer,Fleer,1959,5,Ted's,Fame Spreads,0
1959 Fleer,Fleer,1959,6,Turns,Pro,0
1959 Fleer,Fleer,1959,10,Gunning,as Pastime,0
1959 Fleer,Fleer,1959,11,,-,0
1959 Fleer,Fleer,1959,13,1939,Shows Will Stay,0
1959 Fleer,Fleer,1959,14,Outstanding,Rookie,0
1959 Fleer,Fleer,1959,16,1941,Greatest Year,0
1959 Fleer,Fleer,1959,17,,-,0
1959 Fleer,Fleer,1959,18,1941,All Star Hero,0
1959 Fleer,Fleer,1959,19,Ted,Wins Triple Crown,0
1959 Fleer,Fleer,1959,20,On,to Naval Training,0
1959 Fleer,Fleer,1959,22,1944,Ted Solos,0
1959 Fleer,Fleer,1959,25,1945,Ted Discharged,0
1959 Fleer,Fleer,1959,26,Off,to Flying Start,0
1959 Fleer,Fleer,1959,28,The,Williams Shift,0
1959 Fleer,Fleer,1959,29,Hits,for Cycle,0
1959 Fleer,Fleer,1959,33,Another,Triple Crown,0
1959 Fleer,Fleer,1959,34,Runs,Scored Record,0
1959 Fleer,Fleer,1959,35,Sox,Miss Pennant,0
1959 Fleer,Fleer,1959,36,Banner,Year for Team,0
1959 Fleer,Fleer,1959,37,Sox,Miss Again,0
1959 Fleer,Fleer,1959,38,1949,Power Rampage,0
1959 Fleer,Fleer,1959,39,Great,Start,0
1959 Fleer,Fleer,1959,40,Crashes,wall for Catch,0
1959 Fleer,Fleer,1959,43,Leads,outfield in Double Plays,0
1959 Fleer,Fleer,1959,44,Back,to Marines,0
1959 Fleer,Fleer,1959,45,Farewell,to Baseball,0
1959 Fleer,Fleer,1959,46,Ready,for Combat,0
1959 Fleer,Fleer,1959,47,Ted,Crash Lands Jet,0
1959 Fleer,Fleer,1959,48,Ted,Returns,0
1959 Fleer,Fleer,1959,49,Smash,Return,0
1959 Fleer,Fleer,1959,50,Spring,Injury,0
1959 Fleer,Fleer,1959,51,Patched,Up,0
1959 Fleer,Fleer,1959,52,,Comeback,0
1959 Fleer,Fleer,1959,53,Comeback,Success,0
1959 Fleer,Fleer,1959,54,Ted,Hooks Big One,0
1959 Fleer,Fleer,1959,55,Jim,Cronin Retirement,0
1959 Fleer,Fleer,1959,56,"2,000",Major League,0
1959 Fleer,Fleer,1959,57,400th,Homer,0
1959 Fleer,Fleer,1959,58,Ted,Williams Hits .388,0
1959 Fleer,Fleer,1959,59,Hot,September for Ted,0
1959 Fleer,Fleer,1959,60,More,Records,0
1959 Fleer,Fleer,1959,61,1957,Outfielder Ted,0
1959 Fleer,Fleer,1959,62,6th,Batting Title,0
1959 Fleer,Fleer,1959,63,All-Star,Record,0
1959 Fleer,Fleer,1959,64,Daughter,and Daddy,0
1959 Fleer,Fleer,1959,65,August,"30, 1958",0
1959 Fleer,Fleer,1959,66,,Powerhouse,0
1959 Fleer,Fleer,1959,68,,-,0
1959 Fleer,Fleer,1959,69,A,future Ted Williams,0
1959 Fleer,Fleer,1959,71,Hitting,Fundamentals #1,0
1959 Fleer,Fleer,1959,72,Hitting,Fundamentals #2,0
1959 Fleer,Fleer,1959,73,Hitting,Fundamentals #3,0
1959 Fleer,Fleer,1959,74,Here's,How,0
1959 Fleer,Fleer,1959,75,,-,0
1959 Fleer,Fleer,1959,76,On,Base Record,0
1959 Fleer,Fleer,1959,77,Ted,Relaxes,0
1959 Fleer,Fleer,1959,78,Honors,for Williams,0
1959 Fleer,Fleer,1959,79,Where,Ted Stands,0
1959 Fleer,Fleer,1959,80,Ted's,Goals for,0
1959 Fleer,Fleer,1959,1937,First,Full Season,0
1959 Fleer,Fleer,1959,1959,Fleer,Ted Williams Baseball Card Checklist,0
