SetName,Brand,Year,CardNumber,First,Last,Rookie
1959 Fleer,Fleer,1959,1,The,Early Years,0
1959 Fleer,Fleer,1959,2,Ted's,Idol Babe Ruth,0
1959 Fleer,Fleer,1959,3,Practice,Makes Perfect,0
1959 Fleer,Fleer,1959,4,Learns,Fine Points,0
1959 Fleer,Fleer,1959,5,Ted's,Fame Spreads,0
1959 Fleer,Fleer,1959,6,Turns,Pro,0
1959 Fleer,Fleer,1959,10,Gunning,as Pastime,0
1959 Fleer,Fleer,1959,11,,-,0
1959 Fleer,Fleer,1959,13,1939,Shows Will Stay,0
1959 Fleer,Fleer,1959,14,Outstanding,Rookie,0
1959 Fleer,Fleer,1959,16,1941,Greatest Year,0
1959 Fleer,Fleer,1959,17,,-,0
1959 Fleer,Fleer,1959,18,1941,All Star Hero,0
1959 Fleer,Fleer,1959,19,Ted,Wins Triple Crown,0
1959 Fleer,Fleer,1959,20,On,to Naval Training,0
1959 Fleer,Fleer,1959,22,1944,Ted Solos,0
1959 Fleer,Fleer,1959,25,1945,Ted Discharged,0
1959 Fleer,Fleer,1959,26,Off,to Flying Start,0
1959 Fleer,Fleer,1959,28,The,Williams Shift,0
1959 Fleer,Fleer,1959,29,Hits,for Cycle,0
1959 Fleer,Fleer,1959,33,Another,Triple Crown,0
1959 Fleer,Fleer,1959,34,Runs,Scored Record,0
1959 Fleer,Fleer,1959,35,Sox,Miss Pennant,0
1959 Fleer,Fleer,1959,36,Banner,Year for Team,0
1959 Fleer,Fleer,1959,37,Sox,Miss Again,0
1959 Fleer,Fleer,1959,38,1949,Power Rampage,0
1959 Fleer,Fleer,1959,39,Great,Start,0
1959 Fleer,Fleer,1959,40,Crashes,wall for Catch,0
1959 Fleer,Fleer,1959,43,Leads,outfield in Double Plays,0
1959 Fleer,Fleer,1959,44,Back,to Marines,0
1959 Fleer,Fleer,1959,45,Farewell,to Baseball,0
1959 Fleer,Fleer,1959,46,Ready,for Combat,0
1959 Fleer,Fleer,1959,47,Ted,Crash Lands Jet,0
1959 Fleer,Fleer,1959,48,Ted,Returns,0
1959 Fleer,Fleer,1959,49,Smash,Return,0
1959 Fleer,Fleer,1959,50,Spring,Injury,0
1959 Fleer,Fleer,1959,51,Patched,Up,0
1959 Fleer,Fleer,1959,52,,Comeback,0
1959 Fleer,Fleer,1959,53,Comeback,Success,0
1959 Fleer,Fleer,1959,54,Ted,Hooks Big One,0
1959 Fleer,Fleer,1959,55,Jim,Cronin Retirement,0
1959 Fleer,Fleer,1959,56,"2,000",Major League,0
1959 Fleer,Fleer,1959,57,400th,Homer,0
1959 Fleer,Fleer,1959,58,Ted,Williams Hits .388,0
1959 Fleer,Fleer,1959,59,Hot,September for Ted,0
1959 Fleer,Fleer,1959,60,More,Records,0
1959 Fleer,Fleer,1959,61,1957,Outfielder Ted,0
1959 Fleer,Fleer,1959,62,6th,Batting Title,0
1959 Fleer,Fleer,1959,63,All-Star,Record,0
1959 Fleer,Fleer,1959,64,Daughter,and Daddy,0
1959 Fleer,Fleer,1959,65,August,"30, 1958",0
1959 Fleer,Fleer,1959,66,,Powerhouse,0
1959 Fleer,Fleer,1959,68,,-,0
1959 Fleer,Fleer,1959,69,A,future Ted Williams,0
1959 Fleer,Fleer,1959,71,Hitting,Fundamentals #1,0
1959 Fleer,Fleer,1959,72,Hitting,Fundamentals #2,0
1959 Fleer,Fleer,1959,73,Hitting,Fundamentals #3,0
1959 Fleer,Fleer,1959,74,Here's,How,0
1959 Fleer,Fleer,1959,75,,-,0
1959 Fleer,Fleer,1959,76,On,Base Record,0
1959 Fleer,Fleer,1959,77,Ted,Relaxes,0
1959 Fleer,Fleer,1959,78,Honors,for Williams,0
1959 Fleer,Fleer,1959,79,Where,Ted Stands,0
1959 Fleer,Fleer,1959,80,Ted's,Goals for,0
1959 Fleer,Fleer,1959,1937,First,Full Season,0
1959 Fleer,Fleer,1959,1959,Fleer,Ted Williams Baseball Card Checklist,0
1960 Fleer,Fleer,1960,1,Napoleon,Lajoie,0
1960 Fleer,Fleer,1960,2,Christy,Mathewson,0
1960 Fleer,Fleer,1960,3,Babe,Ruth,0
1960 Fleer,Fleer,1960,4,Carl,Hubbell,0
1960 Fleer,Fleer,1960,5,Grover,C. Alexander,0
1960 Fleer,Fleer,1960,6,Walter,Johnson,0
1960 Fleer,Fleer,1960,7,Chief,Bender,0
1960 Fleer,Fleer,1960,8,Roger,Bresnahan,0
1960 Fleer,Fleer,1960,9,Mordecai,Brown,0
1960 Fleer,Fleer,1960,10,Tris,Speaker,0
1960 Fleer,Fleer,1960,11,Arky,Vaughan,0
1960 Fleer,Fleer,1960,12,Zach,Wheat,0
1960 Fleer,Fleer,1960,13,George,Sisler,0
1960 Fleer,Fleer,1960,14,Connie,Mack,0
1960 Fleer,Fleer,1960,15,Clark,Griffith,0
1960 Fleer,Fleer,1960,16,Lou,Boudreau,0
1960 Fleer,Fleer,1960,17,Ernie,Lombardi,0
1960 Fleer,Fleer,1960,18,Heinie,Manush,0
1960 Fleer,Fleer,1960,19,Marty,Marion,0
1960 Fleer,Fleer,1960,20,Eddie,Collins,0
1960 Fleer,Fleer,1960,21,Rabbit,Maranville,0
1960 Fleer,Fleer,1960,22,Joe,Medwick,0
1960 Fleer,Fleer,1960,23,Ed,Barrow,0
1960 Fleer,Fleer,1960,24,Mickey,Cochrane,0
1960 Fleer,Fleer,1960,25,Jimmy,Collins,0
1960 Fleer,Fleer,1960,26,Bob,Feller,0
1960 Fleer,Fleer,1960,27,Luke,Appling,0
1960 Fleer,Fleer,1960,28,Lou,Gehrig,0
1960 Fleer,Fleer,1960,29,Gabby,Hartnett,0
1960 Fleer,Fleer,1960,30,Chuck,Klein,0
1960 Fleer,Fleer,1960,31,Tony,Lazzeri,0
1960 Fleer,Fleer,1960,32,Al,Simmons,0
1960 Fleer,Fleer,1960,33,Wilbert,Robinson,0
1960 Fleer,Fleer,1960,34,Sam,Rice,0
1960 Fleer,Fleer,1960,35,Herb,Pennock,0
1960 Fleer,Fleer,1960,36,Mel,Ott,0
1960 Fleer,Fleer,1960,37,Lefty,O'Doul,0
1960 Fleer,Fleer,1960,38,Johnny,Mize,0
1960 Fleer,Fleer,1960,40,Joe,Tinker,0
1960 Fleer,Fleer,1960,41,Frank,Baker,0
1960 Fleer,Fleer,1960,42,Ty,Cobb,0
1960 Fleer,Fleer,1960,43,Paul,Derringer,0
1960 Fleer,Fleer,1960,44,Cap,Anson,0
1960 Fleer,Fleer,1960,45,Jim,Bottomley,0
1960 Fleer,Fleer,1960,46,Eddie,Plank,0
1960 Fleer,Fleer,1960,47,Cy,Young,0
1960 Fleer,Fleer,1960,48,Hack,Wilson,0
1960 Fleer,Fleer,1960,50,Frank,Chance,0
1960 Fleer,Fleer,1960,51,Dazzy,Vance,0
1960 Fleer,Fleer,1960,52,Bill,Terry,0
1960 Fleer,Fleer,1960,53,Jimmie,Foxx,0
1960 Fleer,Fleer,1960,54,Lefty,Gomez,0
1960 Fleer,Fleer,1960,55,Branch,Rickey,0
1960 Fleer,Fleer,1960,56,Ray,Schalk,0
1960 Fleer,Fleer,1960,57,Johnny,Evers,0
1960 Fleer,Fleer,1960,58,Charley,Gehringer,0
1960 Fleer,Fleer,1960,59,Burleigh,Grimes,0
1960 Fleer,Fleer,1960,60,Lefty,Grove,0
1960 Fleer,Fleer,1960,61,Rube,Waddell,0
1960 Fleer,Fleer,1960,62,Honus,Wagner,0
1960 Fleer,Fleer,1960,63,Red,Ruffing,0
1960 Fleer,Fleer,1960,64,Kenesaw,M. Landis,0
1960 Fleer,Fleer,1960,65,Harry,Heilmann,0
1960 Fleer,Fleer,1960,66,John,McGraw,0
1960 Fleer,Fleer,1960,67,Hughie,Jennings,0
1960 Fleer,Fleer,1960,68,Hal,Newhouser,0
1960 Fleer,Fleer,1960,69,Waite,Hoyt,0
1960 Fleer,Fleer,1960,70,Bobo,Newsom,0
1960 Fleer,Fleer,1960,71,Earl,Averill,0
1960 Fleer,Fleer,1960,72,Ted,Williams,0
1960 Fleer,Fleer,1960,73,Warren,Giles,0
1960 Fleer,Fleer,1960,74,Ford,Frick,0
1960 Fleer,Fleer,1960,75,Kiki,Cuyler,0
1960 Fleer,Fleer,1960,76,Paul,Waner,0
1960 Fleer,Fleer,1960,77,Pie,Traynor,0
1960 Fleer,Fleer,1960,78,Lloyd,Waner,0
1960 Fleer,Fleer,1960,79,Ralph,Kiner,0
1960 Fleer,Fleer,1960,80A,Pepper,Martin,0
1960 Fleer,Fleer,1960,1960,Fleer,Baseball Card Checklist,0
1961 Fleer,Fleer,1961,1,-,F.Baker/T.Cobb/Z. Wheat,0
1961 Fleer,Fleer,1961,2,Grover,C. Alexander,0
1961 Fleer,Fleer,1961,3,Nick,Altrock,0
1961 Fleer,Fleer,1961,4,Cap,Anson,0
1961 Fleer,Fleer,1961,5,Earl,Averill,0
1961 Fleer,Fleer,1961,6,Frank,Baker,0
1961 Fleer,Fleer,1961,7,Dave,Bancroft,0
1961 Fleer,Fleer,1961,8,Chief,Bender,0
1961 Fleer,Fleer,1961,9,Jim,Bottomley,0
1961 Fleer,Fleer,1961,10,Roger,Bresnahan,0
1961 Fleer,Fleer,1961,11,Mordecai,Brown,0
1961 Fleer,Fleer,1961,12,Max,Carey,0
1961 Fleer,Fleer,1961,13,Jack,Chesbro,0
1961 Fleer,Fleer,1961,14,Ty,Cobb,0
1961 Fleer,Fleer,1961,15,Mickey,Cochrane,0
