SetName,Brand,Year,CardNumber,First,Last,Rookie
1952 Topps Baseball,Topps,1952,1,Andy,Pafko,0
1952 Topps Baseball,Topps,1952,2,Pete,Runnels,1
1952 Topps Baseball,Topps,1952,3,Hank,Thompson,0
1952 Topps Baseball,Topps,1952,4,Don,Lenhardt,0
1952 Topps Baseball,Topps,1952,5,Larry,Jansen,0
1952 Topps Baseball,Topps,1952,6,Grady,Hatton,0
1952 Topps Baseball,Topps,1952,7,Wayne,Terwilliger,0
1952 Topps Baseball,Topps,1952,8,Fred,Marsh,0
1952 Topps Baseball,Topps,1952,9,Robert,Hogue,0
1952 Topps Baseball,Topps,1952,10,Al,Rosen,0
1952 Topps Baseball,Topps,1952,11,Phil,Rizzuto,0
1952 Topps Baseball,Topps,1952,12,Monty,Basgall,0
1952 Topps Baseball,Topps,1952,13,Johnny,Wyrostek,0
1952 Topps Baseball,Topps,1952,14,Bob,Elliott,0
1952 Topps Baseball,Topps,1952,15,Johnny,Pesky,0
1952 Topps Baseball,Topps,1952,16,Gene,Hermanski,0
1952 Topps Baseball,Topps,1952,17,Jim,Hegan,0
1952 Topps Baseball,Topps,1952,18,Merrill,Combs,0
1952 Topps Baseball,Topps,1952,19,Johnny,Bucha,0
1952 Topps Baseball,Topps,1952,20,Billy,Loes,1
1952 Topps Baseball,Topps,1952,21,Ferris,Fain,0
1952 Topps Baseball,Topps,1952,22,Dom,DiMaggio,0
1952 Topps Baseball,Topps,1952,23,Billy,Goodman,0
1952 Topps Baseball,Topps,1952,24,Luke,Easter,0
1952 Topps Baseball,Topps,1952,25,Johnny,Groth,0
1952 Topps Baseball,Topps,1952,26,Monte,Irvin,0
1952 Topps Baseball,Topps,1952,27,Sam,Jethroe,0
1952 Topps Baseball,Topps,1952,28,Jerry,Priddy,0
1952 Topps Baseball,Topps,1952,29,Ted,Kluszewsk,0
1952 Topps Baseball,Topps,1952,30,Mel,Parnell,0
1952 Topps Baseball,Topps,1952,31,Gus,Zernial,0
1952 Topps Baseball,Topps,1952,32,Eddie,Robinson,0
1952 Topps Baseball,Topps,1952,33,Warren,Spahn,0
1952 Topps Baseball,Topps,1952,34,Elmer,Valo,0
1952 Topps Baseball,Topps,1952,35,Hank,Sauer,0
1952 Topps Baseball,Topps,1952,36,Gil,Hodges,0
1952 Topps Baseball,Topps,1952,37,Duke,Snider,0
1952 Topps Baseball,Topps,1952,38,Wally,Westlake,0
1952 Topps Baseball,Topps,1952,39,Dizzy,Trout,0
1952 Topps Baseball,Topps,1952,40,Irv,Noren,0
1952 Topps Baseball,Topps,1952,41,Bob,Wellman,0
1952 Topps Baseball,Topps,1952,42,Lou,Kretlow,0
1952 Topps Baseball,Topps,1952,43,Ray,Scarborough,0
1952 Topps Baseball,Topps,1952,44,Con,Dempsey,0
1952 Topps Baseball,Topps,1952,45,Eddie,Joost,0
1952 Topps Baseball,Topps,1952,46,Gordon,Goldsberry,0
1952 Topps Baseball,Topps,1952,47,Willie,Jones,0
1952 Topps Baseball,Topps,1952,48A,Joe,Page (COR),0
1952 Topps Baseball,Topps,1952,48B,,(ERR),0
1952 Topps Baseball,Topps,1952,49A,Johnny,Sain (COR),0
1952 Topps Baseball,Topps,1952,49B,,(ERR),0
1952 Topps Baseball,Topps,1952,50,Marv,Rickert,0
1952 Topps Baseball,Topps,1952,51,Jim,Russell,0
1952 Topps Baseball,Topps,1952,52,Don,Mueller,0
1952 Topps Baseball,Topps,1952,53,Chris,Van Cuyk,0
1952 Topps Baseball,Topps,1952,54,Leo,Kiely,0
1952 Topps Baseball,Topps,1952,55,Ray,Boone,0
1952 Topps Baseball,Topps,1952,56,Tommy,Glaviano,0
1952 Topps Baseball,Topps,1952,57,Ed,Lopat,0
1952 Topps Baseball,Topps,1952,58,Bob,Mahoney,0
1952 Topps Baseball,Topps,1952,59,Robin,Roberts,0
1952 Topps Baseball,Topps,1952,60,Sid,Hudson,0
1952 Topps Baseball,Topps,1952,61,Tookie,Gilbert,0
1952 Topps Baseball,Topps,1952,62,Chuck,Stobbs,1
1952 Topps Baseball,Topps,1952,63,Howie,Pollet,0
1952 Topps Baseball,Topps,1952,64,Roy,Sievers,0
1952 Topps Baseball,Topps,1952,65,Enos,Slaughter,0
1952 Topps Baseball,Topps,1952,66,Preacher,Roe,0
1952 Topps Baseball,Topps,1952,67,Allie,Reynolds,0
1952 Topps Baseball,Topps,1952,68,Cliff,Chambers,0
1952 Topps Baseball,Topps,1952,69,Virgil,Stallcup,0
1952 Topps Baseball,Topps,1952,70,Al,Zarilla,0
1952 Topps Baseball,Topps,1952,71,Tom,Upton,0
1952 Topps Baseball,Topps,1952,72,Karl,Olson,0
1952 Topps Baseball,Topps,1952,73,Bill,Werle,0
1952 Topps Baseball,Topps,1952,74,Andy,Hansen,0
1952 Topps Baseball,Topps,1952,75,Wes,Westrum,0
1952 Topps Baseball,Topps,1952,76,Eddie,Stanky,0
1952 Topps Baseball,Topps,1952,77,Bob,Kennedy,0
1952 Topps Baseball,Topps,1952,78,Ellis,Kinder,0
1952 Topps Baseball,Topps,1952,79,Gerry,Staley,0
1952 Topps Baseball,Topps,1952,80,Herman,Wehmeier,0
1952 Topps Baseball,Topps,1952,81,Vern,Law,0
1952 Topps Baseball,Topps,1952,82,Duane,Pillette,0
1952 Topps Baseball,Topps,1952,83,Billy,Johnson,0
1952 Topps Baseball,Topps,1952,84,Vern,Stephens,0
1952 Topps Baseball,Topps,1952,85,Bob,Kuzava,0
1952 Topps Baseball,Topps,1952,86,Ted,Gray,0
1952 Topps Baseball,Topps,1952,87,Dale,Coogan,0
1952 Topps Baseball,Topps,1952,88,Bob,Feller,0
1952 Topps Baseball,Topps,1952,89,Johnny,Lipon,0
1952 Topps Baseball,Topps,1952,90,Mickey,Grasso,0
1952 Topps Baseball,Topps,1952,91,,Red,0
1952 Topps Baseball,Topps,1952,92,Dale,Mitchell,0
1952 Topps Baseball,Topps,1952,93,Al,Sima,0
1952 Topps Baseball,Topps,1952,94,Sam,Mele,0
1952 Topps Baseball,Topps,1952,95,Ken,Holcombe,0
1952 Topps Baseball,Topps,1952,96,,Willard,0
1952 Topps Baseball,Topps,1952,97,Earl,Torgeson,0
1952 Topps Baseball,Topps,1952,98,Billy,Pierce,0
1952 Topps Baseball,Topps,1952,99,Gene,Woodling,0
1952 Topps Baseball,Topps,1952,100,Del,Rice,0
1952 Topps Baseball,Topps,1952,101,Max,Lanier,0
1952 Topps Baseball,Topps,1952,102,Bill,Kennedy,0
1952 Topps Baseball,Topps,1952,103,Cliff,Mapes,0
1952 Topps Baseball,Topps,1952,104,Don,Kolloway,0
1952 Topps Baseball,Topps,1952,105,Johnny,Pramesa,0
1952 Topps Baseball,Topps,1952,106,Mickey,Vernon,0
1952 Topps Baseball,Topps,1952,107,Connie,Ryan,0
1952 Topps Baseball,Topps,1952,108,Jim,Konstanty,0
1952 Topps Baseball,Topps,1952,109,Ted,Wilks,0
1952 Topps Baseball,Topps,1952,110,Dutch,Leonard,0
1952 Topps Baseball,Topps,1952,111,Peanuts,Lowrey,0
